id_terem,adress,texnik
153,"Антонича, 6",ruslan
240,"Багряного, 39",ruslan
297,"Біберовича, 11",ruslan
236,"Брюховицька, 143",ruslan
156,"Брюховичі Івасюка, 1",ruslan
243,"Брюховичі Львівська, 92",ruslan
254,"Вашингтона, 4в",ruslan
202,"Виговського, 5",ruslan
52,"Виговського, 5б",ruslan
178,"Генерала Тарнавського, 104б",ruslan
305,"Гориня, 39",ruslan
212,"Городоцька, 213",ruslan
269,"Городоцька, 226а",ruslan
114,"Демнянська, 26",ruslan
226,"Дністерська, 1",ruslan
87,"Довженка, 5",ruslan
118,"Драгана, 4б",ruslan
108,"Дунайська, 7",ruslan
165,"Зелена, 204",ruslan
280,"Зелена, 44",ruslan
57,"Зимна Вода, Тичини, 9",ruslan
282,"Йосифа Сліпого, 22",ruslan
242,"Караджича, 29б",ruslan
336,"Кубійовича, 31",ruslan
184,"Кульпарківська, 135",ruslan
109,"Кульпарківська, 230",ruslan
335,"Лазаренка, 1",ruslan
292,"Лапаївка, Геофізиків, 17",ruslan
54,"Левицького, 43а",ruslan
85,"Левицького, 106",ruslan
232,"Липова алея, 1",ruslan
203,"Медової печери, 65",ruslan
60,"Мечнікова, 16е",ruslan
298,"Освицька, 1",ruslan
281,"Пасічна, 84а",ruslan
227,"Пасічна, 171",ruslan
208,"Петлюри, 2а",ruslan
314,"Пулюя, 29",ruslan
279,"Пулюя, 40",ruslan
53,"Родини Крушельницьких, 1а",ruslan
296,"Садівнича, 27",ruslan
183,"Скорини, 44",ruslan
302,"Сокільники, Г.Сковороди, 56",ruslan
217,"Сокільники, Героїв Майдану, 17в",ruslan
244,"Стрийська, 45в",ruslan
127,"Стрийська, 51",ruslan
316,"Стрийська, 108",ruslan
56,"Тернопільська, 21",ruslan
174,"Тернопільська, 8",ruslan
200,"Трускавецька, 129",ruslan
155,"Угорська, 12",ruslan
206,"Угорська, 14б",ruslan
104,"Шевченка, 111",ruslan
211,"Яворницького, 8",ruslan
249,"Віденська, 9",ruslan
277,"Кавалерідзе, 23",ruslan
58,"Куровця, 36",ruslan
311,"Коломийська, 7",ruslan
163,"Левицького, 15",ruslan
164,"Бандери, 69",igor
327,"Веливока, 9",igor
205,"Винники, Винна гора, 10б",igor
126,"Винники, Сахарова, 10",igor
251,"Винники, Франка, 53",igor
154,"Гайдамацька, 9а",igor
268,"Городоцька, 45",igor
51,"Грінченка, 6",igor
195,"Грушевського, 7/9",igor
55,"Довбуша, 1",igor
225,"Замарстинівська, 55г",igor
180,"Замарстинівська, 170б",igor
258,"Замарстинівська, 170н",igor
172,"Зарицьких, 5",igor
326,"Зелена, 17",igor
239,"Князя Романа, 9",igor
230,"Котика, 9",igor
233,"Липинського, 29",igor
231,"Лисиничі, Шухевича, 5",igor
193,"Личаківська, 4/6",igor
157,"Личаківська, 70а",igor
286,"Личаківська, 86",igor
186,"Личаківська, 163",igor
328,"Мазепи, 26",igor
198,"Малоголосківська, 16",igor
188,"Миколайчука, 4а",igor
61,"Наливайка, 20",igor
196,"Ніжинська, 16",igor
59,"Очеретяна, 10",igor
119,"Пекарська, 14",igor
238,"Під Голоском, 24б",igor
86,"просп. Свободи, 1/3",igor
218,"просп.В.Чорновола, 7а",igor
264,"просп.В.Чорновола, 55",igor
192,"просп.В.Чорновола, 67ж",igor
124,"просп.В.Чорновола, 69",igor
113,"просп.В.Чорновола, 101",igor
12,"Січових Стрільців, 13",igor
122,"Тичини, 14",igor
319,"Тракт Глинянський, 163",igor
112,"Франка, 69",igor
